city,country,ISO CountryCode,AirportName,airporturl,ICAO,IATA,latitude,longitude,moreinfourl
Bonaire (Kralendijk  Bonaire (Kralendijk,Netherlands,AN,Flamingo International,http://airportsbase.org/Netherlands_Antilles/all/Bonaire_Kralendijk/Flamingo_International,TNCB,BON,"12° 7' 52"" N","68° 16' 7"" W",http://airportsbase.org/Netherlands_Antilles/all/Bonaire_Kralendijk/Flamingo_International
"Philipsburg, St. Maarten  Philipsburg, St. Maarten",Netherlands,AN,Princess Juliana International,http://airportsbase.org/Netherlands_Antilles/all/Philipsburg_St_Maarten/Princess_Juliana_International,TNCM,SXM,"18° 2' 27"" N","63° 6' 32"" W",http://airportsbase.org/Netherlands_Antilles/all/Philipsburg_St_Maarten/Princess_Juliana_International
Saba Island  Saba Island,Netherlands,AN,Juancho Yrausquin,http://airportsbase.org/Netherlands_Antilles/all/Saba_Island/Juancho_Yrausquin,TNCS,SAB,"17° 38' 42"" N","63° 13' 12"" W",http://airportsbase.org/Netherlands_Antilles/all/Saba_Island/Juancho_Yrausquin
St Eustatius  St Eustatius,Netherlands,AN,F.D.Roosevelt Airport,http://airportsbase.org/Netherlands_Antilles/all/St_Eustatius/F_D_Roosevelt_Airport,TNCE,EUX,"17° 29' 47.37"" N","062° 58' 45.98"" W",http://airportsbase.org/Netherlands_Antilles/all/St_Eustatius/F_D_Roosevelt_Airport
St Martin  St Martin,Netherlands,AN,Esperance,http://airportsbase.org/Netherlands_Antilles/all/St_Martin/Esperance, ,SFG,"18° 3' 10"" N","63° 7' 0"" W",http://airportsbase.org/Netherlands_Antilles/all/St_Martin/Esperance
Willemstad  Willemstad,Netherlands,AN,Curacao ACC/FIC,http://airportsbase.org/Netherlands_Antilles/all/Willemstad/Curacao_ACC_FIC,TNCF,,,,http://airportsbase.org/Netherlands_Antilles/all/Willemstad/Curacao_ACC_FIC
Belep Island  Belep Island,New,NC,Belep Island,http://airportsbase.org/New_Caledonia/all/Belep_Island/Belep_Island, ,BMY,"19° 45' 0"" S","163° 40' 0"" E",http://airportsbase.org/New_Caledonia/all/Belep_Island/Belep_Island
Bourail  Bourail,New,NC,Aeroport Poe,http://airportsbase.org/New_Caledonia/all/Bourail/Aeroport_Poe,NWWB,,,,http://airportsbase.org/New_Caledonia/all/Bourail/Aeroport_Poe
Canala  Canala,New,NC,CANALA,http://airportsbase.org/New_Caledonia/all/Canala/CANALA,NWWX,,"21° 31' 12.87"" S","165° 58' 19.87"" E",http://airportsbase.org/New_Caledonia/all/Canala/CANALA
Fayaoue (Ouvea Island  Fayaoue (Ouvea Island,New,NC,Ouloup,http://airportsbase.org/New_Caledonia/all/Fayaoue_Ouvea_Island/Ouloup,NWWV,UVE,"20° 38' 26.00"" S","166° 34' 22.00"" E",http://airportsbase.org/New_Caledonia/all/Fayaoue_Ouvea_Island/Ouloup
