name,description,styleUrl,longitude,latitude,altitude
COE HILL ONTARIO,COE HILL ONTARIO ,Weather StationID 43923,#icon-22,-77.883333,44.916667,0
COLD LAKE A ALBERTA,COLD LAKE A ALBERTA ,Weather StationID 2832,#icon-22,-110.283333,54.416667,0
COLDWATER WARMINSTER ONTARIO,COLDWATER WARMINSTER ONTARIO ,Weather StationID 4432,#icon-22,-79.533333,44.616667,0
COLLINGWOOD ONTARIO,COLLINGWOOD ONTARIO ,Weather StationID 10955,#icon-22,-80.216667,44.5,0
COLLINS BAY SASKATCHEWAN,COLLINS BAY SASKATCHEWAN ,Weather StationID 10663,#icon-22,-103.7,58.183333,0
COLLINS BAY CAMECO SASKATCHEWAN,COLLINS BAY CAMECO SASKATCHEWAN ,Weather StationID 6873,#icon-22,-103.7,58.183333,0
COLVILLE LAKE NORTHWEST TERRITORIES,COLVILLE LAKE NORTHWEST TERRITORIES ,Weather StationID 10867,#icon-22,-126.083333,67.033333,0
COMOX A BRITISH COLUMBIA,COMOX A BRITISH COLUMBIA ,Weather StationID 155,#icon-22,-124.9,49.716667,0
CONNELLY CREEK ALBERTA,CONNELLY CREEK ALBERTA ,Weather StationID 2231,#icon-22,-114.2,49.6,0
CONSORT AGDM ALBERTA,CONSORT AGDM ALBERTA ,Weather StationID 32230,#icon-22,-110.7,51.933333,0
COP UPPER ALBERTA,COP UPPER ALBERTA ,Weather StationID 9010,#icon-22,-114.216667,51.066667,0
CORAL HARBOUR A NUNAVUT,CORAL HARBOUR A NUNAVUT ,Weather StationID 1713,#icon-22,-83.35,64.183333,0
CORMACK NEWFOUNDLAND,CORMACK NEWFOUNDLAND ,Weather StationID 6609,#icon-22,-57.4,49.316667,0
CORNER BROOK NEWFOUNDLAND,CORNER BROOK NEWFOUNDLAND ,Weather StationID 6933,#icon-22,-57.916667,48.933333,0
CORNWALL ONTARIO,CORNWALL ONTARIO ,Weather StationID 4255,#icon-22,-74.733333,45,0
CORONACH SASKATCHEWAN,CORONACH SASKATCHEWAN ,Weather StationID 3173,#icon-22,-105.516667,49.116667,0
CORONACH SPC SASKATCHEWAN,CORONACH SPC SASKATCHEWAN ,Weather StationID 3172,#icon-22,-105.483333,49.05,0
CORONATION CLIMATE ALBERTA,CORONATION CLIMATE ALBERTA ,Weather StationID 27212,#icon-22,-111.433333,52.066667,0
COURTENAY MEADOWBROOK BRITISH COLUMBIA,COURTENAY MEADOWBROOK BRITISH COLUMBIA ,Weather StationID 135,#icon-22,-124.966667,49.716667,0
COWAN MANITOBA,COWAN MANITOBA ,Weather StationID 3766,#icon-22,-100.65,52.033333,0
